turn	status	context_tokens	cache_n	prompt_n	predicted_n	cache_ratio	processed_pp	effective_context_pp	tg	prompt_ms	predicted_ms	wall_ms	tokens_cached	response_sha256	prompt_file	response_file	slots_file
1	ok	5054	0	5046	8	0.000000	502.794465	502.794465	35.721462	10035.910	223.955	10325	5053	b7b255a9ee33f41c27d71120c8d8a8c891c8d7dfbab9365e0a8c07620f3f62db	/home/stefan/llama.cpp-gfx906/bench-results/minimax-stage5-l2526-leafonly-ub832-cache4-exact-20260608T023426Z/turn-1.prompt.txt	/home/stefan/llama.cpp-gfx906/bench-results/minimax-stage5-l2526-leafonly-ub832-cache4-exact-20260608T023426Z/turn-1.response.json	/home/stefan/llama.cpp-gfx906/bench-results/minimax-stage5-l2526-leafonly-ub832-cache4-exact-20260608T023426Z/turn-1.slots.json
2	ok	6535	5053	1474	8	0.774169	408.650301	1809.539018	38.393243	3606.996	208.370	3890	6534	257e73debfc3efe5b2db5847a43874c71d554fcd17eed6a55a8996fb135bd739	/home/stefan/llama.cpp-gfx906/bench-results/minimax-stage5-l2526-leafonly-ub832-cache4-exact-20260608T023426Z/turn-2.prompt.txt	/home/stefan/llama.cpp-gfx906/bench-results/minimax-stage5-l2526-leafonly-ub832-cache4-exact-20260608T023426Z/turn-2.response.json	/home/stefan/llama.cpp-gfx906/bench-results/minimax-stage5-l2526-leafonly-ub832-cache4-exact-20260608T023426Z/turn-2.slots.json
3	ok	8016	6534	1474	8	0.815934	386.805777	2101.452280	36.966868	3810.698	216.410	4117	8015	49c2af3353a367371d6d2abbd74cb3532e1d6ce560f224a7d5d6020ed74ef584	/home/stefan/llama.cpp-gfx906/bench-results/minimax-stage5-l2526-leafonly-ub832-cache4-exact-20260608T023426Z/turn-3.prompt.txt	/home/stefan/llama.cpp-gfx906/bench-results/minimax-stage5-l2526-leafonly-ub832-cache4-exact-20260608T023426Z/turn-3.response.json	/home/stefan/llama.cpp-gfx906/bench-results/minimax-stage5-l2526-leafonly-ub832-cache4-exact-20260608T023426Z/turn-3.slots.json
4	ok	9497	8015	1474	8	0.844662	365.854688	2355.220578	35.190822	4028.922	227.332	4311	9496	a6debb8603407a02c1e6db7e636c18336c2488961d4b0adf789694ccc8a8af35	/home/stefan/llama.cpp-gfx906/bench-results/minimax-stage5-l2526-leafonly-ub832-cache4-exact-20260608T023426Z/turn-4.prompt.txt	/home/stefan/llama.cpp-gfx906/bench-results/minimax-stage5-l2526-leafonly-ub832-cache4-exact-20260608T023426Z/turn-4.response.json	/home/stefan/llama.cpp-gfx906/bench-results/minimax-stage5-l2526-leafonly-ub832-cache4-exact-20260608T023426Z/turn-4.slots.json
