turn	status	context_tokens	cache_n	prompt_n	predicted_n	cache_ratio	processed_pp	effective_context_pp	tg	prompt_ms	predicted_ms	wall_ms	tokens_cached	response_sha256	prompt_file	response_file	slots_file
1	ok	34450	0	34354	96	0.000000	334.494369	334.494369	17.769752	102704.270	5402.439	108290	34449	b9fbbe4882f569c96dbe8b33ac4a3e273c9ed64380aff89145f7a9ec90fc17f4	/home/stefan/llama.cpp-gfx906/bench-results/minimax-cache-session-20260606T003539Z/turn-1.prompt.txt	/home/stefan/llama.cpp-gfx906/bench-results/minimax-cache-session-20260606T003539Z/turn-1.response.json	/home/stefan/llama.cpp-gfx906/bench-results/minimax-cache-session-20260606T003539Z/turn-1.slots.json
2	ok	45811	34449	11266	96	0.753560	200.080142	811.882096	14.767234	56307.437	6500.879	63018	45810	aeea408d39d627f2487469a989795c24f0b531438259412d244e204e2932a7ed	/home/stefan/llama.cpp-gfx906/bench-results/minimax-cache-session-20260606T003539Z/turn-2.prompt.txt	/home/stefan/llama.cpp-gfx906/bench-results/minimax-cache-session-20260606T003539Z/turn-2.response.json	/home/stefan/llama.cpp-gfx906/bench-results/minimax-cache-session-20260606T003539Z/turn-2.slots.json
3	curl_failed_52	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000	0.000	26849		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	/home/stefan/llama.cpp-gfx906/bench-results/minimax-cache-session-20260606T003539Z/turn-3.prompt.txt	/home/stefan/llama.cpp-gfx906/bench-results/minimax-cache-session-20260606T003539Z/turn-3.response.json	/home/stefan/llama.cpp-gfx906/bench-results/minimax-cache-session-20260606T003539Z/turn-3.slots.json
